# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 13K of event 'cycles:u'
# Event count (approx.): 5571447865
#
# Overhead  Command          Shared Object       Symbol                                    
# ........  ...............  ..................  ..........................................
#
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x000000000082304e
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x00000000003fc167
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c1d47b
     0.01%  G1 Refine#0      libjvm.so           [.] 0x000000000079322d
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000822e8a
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000822f50
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c60f1d150
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000823006
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c60971328
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a79f98
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000819b4a
     0.01%  GC Thread#2      libjvm.so           [.] 0x000000000080ffe0
     0.01%  G1 Conc#0        libjvm.so           [.] 0x00000000007931a7
     0.01%  GC Thread#2      libjvm.so           [.] 0x0000000000790618
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a44ec7
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c609745ba
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c6842b9d7
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c60969f70
     0.01%  GC Thread#0      libjvm.so           [.] 0x000000000079061e
     0.01%  G1 Refine#0      libjvm.so           [.] 0x00000000006f73d8
     0.01%  GC Thread#1      libjvm.so           [.] 0x0000000000cbbf1f
     0.01%  GC Thread#1      libjvm.so           [.] 0x000000000079066f
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000706658
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000481913
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c183df
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000551a23
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000822d38
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a7b99e
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c5ffbe
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c6842b9e0
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c6096c0c7
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000817e0e
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c60f1d3af
     0.01%  G1 Conc#0        libjvm.so           [.] 0x0000000000750337
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c1573e
     0.01%  G1 Refine#1      libjvm.so           [.] 0x00000000007945c8
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c5fcd1
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000b757d4
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000b3429c
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x000000000081a679
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000b8ed5f
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x00000000008194a4
     0.01%  java             libjvm.so           [.] 0x00000000007f5808
     0.01%  G1 Conc#0        libjvm.so           [.] 0x000000000080ed30
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a7ab78
     0.01%  VM Thread        libjvm.so           [.] 0x00000000007a6909
     0.01%  GC Thread#1      libjvm.so           [.] 0x0000000000795517
     0.01%  G1 Refine#0      libjvm.so           [.] 0x000000000079430c
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000b8f171
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c5fcc2
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x000000000055e2a9
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x00000000004746d9
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000817ed9
     0.01%  G1 Conc#0        libjvm.so           [.] 0x000000000074df6e
     0.01%  G1 Refine#1      libjvm.so           [.] 0x0000000000735e88
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c60967ebf
     0.01%  java             libjvm.so           [.] 0x0000000000d4e6a0
     0.01%  GC Thread#3      libjvm.so           [.] 0x0000000000790cba
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000b757da
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000822f81
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000817a12
     0.01%  java             libjvm.so           [.] 0x00000000005aae36
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c1da52
     0.01%  G1 Refine#0      libjvm.so           [.] 0x0000000000735c6a
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c5fd68
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x00000000007bf56e
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c60f1cece
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c60f1f528
     0.01%  G1 Refine#0      libjvm.so           [.] 0x000000000064d02b
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000817aa9
     0.01%  GC Thread#0      libjvm.so           [.] 0x00000000007954c2
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c5f655
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a8cde5
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c1d1d7
     0.01%  java             libjvm.so           [.] 0x000000000071e460
     0.01%  GC Thread#1      libjvm.so           [.] 0x000000000079061e
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x000000000081a123
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000817dc7
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c12eba
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x000000000055e1d4
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a15d1d
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c6096da5f
     0.01%  java             libjvm.so           [.] 0x0000000000c4a77e
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000819ea2
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x000000000055e585
     0.01%  G1 Conc#0        libjvm.so           [.] 0x00000000005fd534
     0.01%  GC Thread#2      libjvm.so           [.] 0x0000000000782de7
     0.01%  java             libjvm.so           [.] 0x00000000004047c4
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c6096b1e0
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000481dc0
     0.01%  java             libjvm.so           [.] 0x0000000000824694
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c6096f3e6
     0.01%  G1 Conc#0        libjvm.so           [.] 0x0000000000793dce
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c12d2e
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000822aac
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c5f806
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c60969421
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a6fdda
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c60f1c8be
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c1b134
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c6096ad7f
     0.01%  GC Thread#1      libjvm.so           [.] 0x0000000000785da3
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c60f1db43
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x000000000055c9e8
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a44ec9
     0.01%  GC Thread#2      libjvm.so           [.] 0x0000000000785dac
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c6842b6d6
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a852dd
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a7935a
     0.01%  C1 CompilerThre  libjvm.so           [.] 0x000000000051961f
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c6097447f
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000b8ba14
     0.01%  G1 Refine#1      libjvm.so           [.] 0x000000000073b09a
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a7a5c3
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000b8f820
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c6842babb
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c6097e90f
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c60f1dbff
     0.01%  G1 Conc#0        libjvm.so           [.] 0x0000000000793c94
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000474200
     0.01%  G1 Conc#0        libjvm.so           [.] 0x0000000000747f73
     0.01%  java             libjvm.so           [.] 0x0000000000cbec9e
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x00000000008181b2
     0.01%  G1 Conc#0        libjvm.so           [.] 0x000000000074dfe0
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c60ef72a7
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x000000000055c5aa
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x00000000005ce001
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x00000000005c61c0
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c6842b96f
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x000000000081acaf
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000817a68
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x000000000056013c
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a7b99b
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x00000000003e2e40
     0.01%  java             libjvm.so           [.] 0x0000000000bcb6d6
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000552397
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a162f9
     0.01%  java             libjvm.so           [.] 0x0000000000a42984
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x000000000081ac81
     0.01%  java             libjvm.so           [.] 0x0000000000c89cfb
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000819e51
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c6096aef0
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x000000000055d5b9
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c5fb49
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000b7586a
     0.01%  G1 Conc#0        libjvm.so           [.] 0x000000000074701b
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x000000000055e327
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c60f1d388
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a6b020
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000823013
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c60f1d580
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a85407
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a44f3b
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000819223
     0.01%  G1 Refine#0      libjvm.so           [.] 0x0000000000a0d680
     0.01%  GC Thread#1      libjvm.so           [.] 0x000000000074a523
     0.01%  java             libjvm.so           [.] 0x00000000005a4a60
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000b8eed8
     0.01%  G1 Refine#0      libjvm.so           [.] 0x0000000000735e15
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a8689c
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c1ce47
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a59e33
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a44ea7
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x000000000055c68c
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000817e24
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x000000000060415c
     0.01%  GC Thread#2      libjvm.so           [.] 0x000000000074a4e8
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000817f25
     0.01%  GC Thread#3      libjvm.so           [.] 0x0000000000787056
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a452a4
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c609686d4
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x000000000055cc74
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c1bfc2
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c6096084a
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a6b052
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c6096870a
     0.01%  C1 CompilerThre  libjvm.so           [.] 0x0000000000c68af5
     0.01%  GC Thread#3      libjvm.so           [.] 0x0000000000786f9d
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a79361
     0.01%  GC Thread#2      libjvm.so           [.] 0x0000000000790b50
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c6842c0f6
     0.01%  GC Thread#2      libjvm.so           [.] 0x000000000074374d
     0.01%  C1 CompilerThre  libjvm.so           [.] 0x0000000000b65120
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a151ec
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000d68603
     0.01%  G1 Refine#0      libjvm.so           [.] 0x0000000000792b87
     0.01%  GC Thread#1      libjvm.so           [.] 0x0000000000795a73
     0.01%  GC Thread#0      libjvm.so           [.] 0x000000000079563a
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a7aad6
     0.01%  GC Thread#0      libjvm.so           [.] 0x0000000000790678
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000360b92
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a44f37
     0.01%  GC Thread#1      libjvm.so           [.] 0x0000000000790a4a
     0.01%  GC Thread#2      libjvm.so           [.] 0x000000000074a517
     0.01%  G1 Refine#0      libjvm.so           [.] 0x000000000080eeb0
     0.01%  GC Thread#1      libjvm.so           [.] 0x0000000000790dd7
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a904c7
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c60965755
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c609656ef
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c5fb40
     0.01%  C1 CompilerThre  libjvm.so           [.] 0x0000000000c63d2a
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000411a98
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000481e1a
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c60f1e07c
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000d13e22
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c1cbf5
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c5fce5
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a453c8
     0.01%  GC Thread#2      libjvm.so           [.] 0x000000000078543d
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x00000000005d42f7
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x000000000055e7f1
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000817bc5
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a156d7
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c1b5ec
     0.01%  GC Thread#2      libjvm.so           [.] 0x0000000000786fd9
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x000000000081950e
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c5dacf
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x000000000055d699
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c60f1d342
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x00000000005c8170
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x00000000007ba7ad
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c19104
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c60f1c2ab
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a58278
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c6096570f
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000bd4c9c
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x00000000008174b8
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x000000000055e2b9
     0.01%  C1 CompilerThre  libjvm.so           [.] 0x00000000004be4f0
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x000000000081a386
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x00000000003e35f0
     0.01%  G1 Refine#1      libjvm.so           [.] 0x000000000080ed54
     0.01%  GC Thread#1      libjvm.so           [.] 0x00000000004251af
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c6097568b
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a44a92
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000482745
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c60f1d143
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000818114
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a14766
     0.01%  GC Thread#0      libjvm.so           [.] 0x0000000000785233
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x000000000055c9fc
     0.01%  GC Thread#0      libjvm.so           [.] 0x000000000078706a
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a7aac3
     0.01%  G1 Conc#0        libjvm.so           [.] 0x00000000007487c0
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x000000000055cf17
     0.01%  G1 Conc#0        libjvm.so           [.] 0x0000000000747070
     0.01%  GC Thread#2      libjvm.so           [.] 0x0000000000786ec6
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000b8f836
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000615070
     0.01%  GC Thread#2      libjvm.so           [.] 0x0000000000790682
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000603e2c
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000822f86
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x00000000005c78b0
     0.01%  C1 CompilerThre  libjvm.so           [.] 0x0000000000519740
     0.01%  C1 CompilerThre  libjvm.so           [.] 0x0000000000424c0d
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a156b9
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c5ff30
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x00000000003da877
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c60f0aa83
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x00000000007bdb87
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c6096ec98
     0.01%  java             libjvm.so           [.] 0x0000000000c6a6bb
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x00000000005c73a7
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a6b141
     0.01%  G1 Conc#0        libjvm.so           [.] 0x000000000080ed13
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000d6c183
     0.01%  GC Thread#2      libjvm.so           [.] 0x00000000007a1640
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c60f1d7d7
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000477414
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000819fa1
     0.01%  java             libjvm.so           [.] 0x0000000000ca24f6
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000b10250
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x000000000055c87e
     0.01%  G1 Refine#0      libjvm.so           [.] 0x000000000079322c
     0.01%  G1 Refine#0      libjvm.so           [.] 0x0000000000792baf
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x00000000005d86c1
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c6842b47b
     0.01%  java             libjvm.so           [.] 0x0000000000d1e19e
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000819a90
     0.01%  GC Thread#3      libjvm.so           [.] 0x0000000000795a6b
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x000000000055ca07
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c60f1d7bf
     0.01%  G1 Refine#0      libjvm.so           [.] 0x0000000000735e1d
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c6842c098
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c6842be21
     0.01%  G1 Refine#0      libjvm.so           [.] 0x0000000000792bf4
     0.01%  G1 Refine#0      libjvm.so           [.] 0x000000000080ed30
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x00000000005d01d3
     0.01%  GC Thread#0      libjvm.so           [.] 0x0000000000782d8f
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x000000000055c889
     0.01%  GC Thread#0      libjvm.so           [.] 0x0000000000735c6a
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c684293b0
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c60f1c086
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c177fb
     0.01%  G1 Conc#0        libjvm.so           [.] 0x000000000080eda9
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c5fd56
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000b8f8c8
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000817a2d
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000b252cc
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x00000000007bbfb1
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000cf8774
     0.01%  GC Thread#1      libjvm.so           [.] 0x0000000000782dc3
     0.01%  java             libjvm.so           [.] 0x0000000000a0ca25
     0.01%  GC Thread#3      libjvm.so           [.] 0x0000000000cbbf2d
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c6842b9ed
     0.01%  GC Thread#1      libjvm.so           [.] 0x0000000000bb8ce3
     0.01%  G1 Refine#1      libjvm.so           [.] 0x000000000080eda5
     0.01%  C1 CompilerThre  libjvm.so           [.] 0x000000000058b14c
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x000000000030c29a
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000bd4d5a
     0.01%  C1 CompilerThre  libjvm.so           [.] 0x0000000000aab2a0
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000822e70
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000d688d0
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c5bb1f
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x000000000055d740
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c60974483
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c5fd43
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c6842b679
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x00000000003574f4
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a161b3
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x00000000007be1b0
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a7a391
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x00000000005d2df4
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c6842b622
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x000000000047449d
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000477ba4
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c6842be8f
     0.01%  GC Thread#1      libjvm.so           [.] 0x0000000000782d73
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c5fb5c
     0.01%  G1 Refine#0      libjvm.so           [.] 0x0000000000735c42
     0.01%  GC Thread#0      libjvm.so           [.] 0x00000000005e82c0
     0.01%  GC Thread#0      libjvm.so           [.] 0x0000000000d1443c
     0.01%  C1 CompilerThre  libjvm.so           [.] 0x000000000051294d
     0.01%  GC Thread#1      libjvm.so           [.] 0x00000000007954df
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000411801
     0.01%  C1 CompilerThre  libjvm.so           [.] 0x00000000005101c8
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a7aa58
     0.01%  G1 Refine#0      libjvm.so           [.] 0x000000000079455d
     0.01%  GC Thread#0      libjvm.so           [.] 0x00000000007948e8
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000b132c8
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c60969d1e
     0.01%  GC Thread#2      libjvm.so           [.] 0x00000000007436d8
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a90310
     0.01%  GC Thread#1      libjvm.so           [.] 0x0000000000782ed7
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000a8fca0
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000822f9d
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c60eededc
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c6842bcbd
     0.01%  GC Thread#2      libjvm.so           [.] 0x00000000007870c6
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000b8c781
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000357300
     0.01%  java             libjvm.so           [.] 0x000000000049d665
     0.01%  java             libjvm.so           [.] 0x0000000000c9f843
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000672084
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c609783e6
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000822d3f
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c60f1ca5e
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c60f1dae6
     0.01%  java             libjvm.so           [.] 0x000000000084d9e0
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x00000000006e4604
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c609606aa
     0.01%  G1 Refine#0      libjvm.so           [.] 0x0000000000792b9d
     0.01%  C1 CompilerThre  libjvm.so           [.] 0x00000000004bfcc2
     0.01%  GC Thread#1      libjvm.so           [.] 0x0000000000d2add9
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000b8f8b4
     0.01%  G1 Conc#0        libjvm.so           [.] 0x0000000000793c46
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000817b98
     0.01%  java             libjvm.so           [.] 0x0000000000d8eae0
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c68ae4
     0.01%  java             libjvm.so           [.] 0x0000000000b9303c
     0.01%  GC Thread#3      libjvm.so           [.] 0x0000000000786fd3
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000c1c09a
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c6842b481
     0.01%  G1 Refine#0      libjvm.so           [.] 0x0000000000794479
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000bc9db0
     0.01%  java             libjvm.so           [.] 0x0000000000729137
     0.01%  GC Thread#2      libjvm.so           [.] 0x000000000078705e
     0.01%  C2 CompilerThre  libjvm.so           [.] 0x0000000000605721
     0.01%  java             [JIT] tid 29344     [.] 0x00007f7c6096d144
     0.01%  C1 CompilerThre  libjvm.so           [.] 0x000000000045ec23
