# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 13K of event 'cycles:u'
# Event count (approx.): 5571447865
#
# Overhead  Command          Shared Object       Symbol                                    
# ........  ...............  ..................  ..........................................
#
     0.08%  GC Thread#2      libjvm.so           [.] 0x0000000000782df3
     0.08%  GC Thread#0      libjvm.so           [.] 0x00000000007854ab
     0.08%  java             [JIT] tid 29344     [.] 0x00007f7c6842ba50
     0.08%  GC Thread#0      libjvm.so           [.] 0x0000000000782d49
     0.08%  GC Thread#1      libjvm.so           [.] 0x00000000007954d9
     0.08%  GC Thread#1      libjvm.so           [.] 0x0000000000782ec3
     0.08%  GC Thread#2      libjvm.so           [.] 0x00000000007854a3
     0.08%  java             [JIT] tid 29344     [.] 0x00007f7c6842b770
     0.08%  GC Thread#2      libjvm.so           [.] 0x0000000000782eca
     0.08%  java             [JIT] tid 29344     [.] 0x00007f7c60960680
     0.08%  G1 Refine#0      libjvm.so           [.] 0x000000000080ec9a
     0.08%  java             [JIT] tid 29344     [.] 0x00007f7c6842ba82
     0.08%  GC Thread#0      libjvm.so           [.] 0x000000000078558a
     0.08%  java             [JIT] tid 29344     [.] 0x00007f7c6842b745
     0.08%  GC Thread#2      libjvm.so           [.] 0x0000000000785212
     0.08%  GC Thread#0      libjvm.so           [.] 0x0000000000782d55
     0.08%  java             libjvm.so           [.] 0x0000000000d14b69
     0.08%  GC Thread#1      libjvm.so           [.] 0x0000000000782d64
     0.08%  GC Thread#2      libjvm.so           [.] 0x0000000000795a2a
     0.08%  GC Thread#2      libjvm.so           [.] 0x00000000007856fb
     0.08%  GC Thread#1      libjvm.so           [.] 0x0000000000782ed1
     0.08%  java             [JIT] tid 29344     [.] 0x00007f7c6842b4d9
     0.08%  GC Thread#3      libjvm.so           [.] 0x0000000000782dc0
     0.08%  GC Thread#0      libjvm.so           [.] 0x0000000000782ec3
     0.08%  GC Thread#0      libjvm.so           [.] 0x0000000000782eb0
     0.08%  GC Thread#1      libjvm.so           [.] 0x0000000000786ef5
     0.08%  java             [JIT] tid 29344     [.] 0x00007f7c6842b48d
     0.08%  java             libjvm.so           [.] 0x0000000000d147ae
     0.08%  GC Thread#3      libjvm.so           [.] 0x0000000000782dd0
     0.08%  G1 Conc#0        libjvm.so           [.] 0x00000000007470db
     0.08%  GC Thread#0      libjvm.so           [.] 0x000000000078707d
     0.08%  GC Thread#0      libjvm.so           [.] 0x0000000000782dc0
     0.08%  java             [JIT] tid 29344     [.] 0x00007f7c6842ba67
     0.08%  java             [JIT] tid 29344     [.] 0x00007f7c6842b99f
     0.08%  java             [JIT] tid 29344     [.] 0x00007f7c6842b973
     0.08%  G1 Refine#0      libjvm.so           [.] 0x000000000080edb0
     0.07%  GC Thread#1      libjvm.so           [.] 0x0000000000782d6e
     0.07%  java             [JIT] tid 29344     [.] 0x00007f7c6842b4a7
     0.07%  GC Thread#1      libjvm.so           [.] 0x000000000078547d
     0.07%  GC Thread#0      libjvm.so           [.] 0x0000000000785723
