# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 15K of event 'cycles:u'
# Event count (approx.): 6897413689
#
# Overhead  Command          Shared Object       Symbol                                                             
# ........  ...............  ..................  ...................................................................
#
     0.11%  G1 Conc#0        libjvm.so           [.] 0x0000000000747fd1
     0.11%  G1 Conc#0        libjvm.so           [.] 0x0000000000795365
     0.11%  java             [JIT] tid 917       [.] 0x00007f15a4424679
     0.11%  G1 Conc#0        libjvm.so           [.] 0x0000000000747326
     0.11%  G1 Refine#1      libjvm.so           [.] 0x0000000000793822
     0.11%  G1 Conc#0        libjvm.so           [.] 0x0000000000795356
     0.11%  java             [JIT] tid 917       [.] 0x00007f15a4424747
     0.11%  GC Thread#0      libjvm.so           [.] 0x0000000000782dc0
     0.11%  G1 Conc#0        libjvm.so           [.] 0x00000000007503c4
     0.11%  G1 Conc#0        libjvm.so           [.] 0x000000000074df98
     0.11%  GC Thread#2      libjvm.so           [.] 0x0000000000a43e60
     0.11%  GC Thread#0      libjvm.so           [.] 0x000000000078524e
     0.11%  G1 Conc#0        libjvm.so           [.] 0x0000000000795218
     0.11%  G1 Conc#0        libjvm.so           [.] 0x0000000000795136
     0.11%  GC Thread#3      libjvm.so           [.] 0x00000000007852e0
     0.11%  GC Thread#0      libjvm.so           [.] 0x0000000000785723
     0.10%  java             libjvm.so           [.] 0x0000000000793415
     0.10%  G1 Refine#0      libjvm.so           [.] 0x0000000000793444
     0.10%  G1 Conc#0        libjvm.so           [.] 0x000000000075836d
     0.10%  java             libjvm.so           [.] 0x0000000000793431
     0.10%  G1 Refine#0      libjvm.so           [.] 0x0000000000793442
     0.10%  GC Thread#0      libjvm.so           [.] 0x00000000007954d9
     0.10%  G1 Refine#1      libjvm.so           [.] 0x0000000000793400
     0.10%  java             [JIT] tid 917       [.] 0x00007f15a44246fa
     0.10%  G1 Refine#2      libjvm.so           [.] 0x000000000079381a
     0.10%  GC Thread#1      libjvm.so           [.] 0x0000000000782d7c
     0.10%  G1 Refine#1      libjvm.so           [.] 0x0000000000793442
     0.10%  G1 Refine#1      libjvm.so           [.] 0x0000000000793415
     0.10%  G1 Conc#0        libjvm.so           [.] 0x0000000000747087
     0.10%  GC Thread#3      libjvm.so           [.] 0x0000000000a43e60
     0.10%  G1 Conc#0        libjvm.so           [.] 0x0000000000793194
     0.10%  G1 Conc#0        libjvm.so           [.] 0x0000000000758310
     0.10%  java             libjvm.so           [.] 0x000000000080eccc
     0.10%  G1 Conc#0        [unknown]           [k] 0xffffffff9ea00b07
     0.10%  G1 Conc#0        libjvm.so           [.] 0x000000000074dfa3
     0.10%  G1 Conc#0        libjvm.so           [.] 0x0000000000747194
     0.10%  G1 Conc#0        libjvm.so           [.] 0x00000000007503d4
     0.10%  GC Thread#1      libjvm.so           [.] 0x0000000000790673
     0.10%  G1 Conc#0        libjvm.so           [.] 0x000000000074728c
     0.10%  G1 Conc#0        libjvm.so           [.] 0x0000000000758320
     0.10%  G1 Conc#0        libjvm.so           [.] 0x00000000007503e7
